"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 06 16:22:55 SAMT 2026","Mon Jul 06 16:22:57 SAMT 2026","1698","","Update User Tests","","api.tests.UpdateUserTest","updateUserWithInvalidToken","Update user with invalid token - should return error 403","Test tries to update user with invalid/expired token"
"passed","Mon Jul 06 16:23:15 SAMT 2026","Mon Jul 06 16:23:16 SAMT 2026","1297","","Create User Tests","","api.tests.CreateUserTest","createUserWithoutPassword","Create user without password - should return error","Test creates user without password field and expects error about required fields"
"passed","Mon Jul 06 16:23:16 SAMT 2026","Mon Jul 06 16:23:17 SAMT 2026","732","","Create User Tests","","api.tests.CreateUserTest","createAlreadyRegisteredUser","Create already registered user - should return error","Test tries to create a user that already exists and expects error 403"
"passed","Mon Jul 06 16:23:08 SAMT 2026","Mon Jul 06 16:23:09 SAMT 2026","1335","","Create Order Tests","","api.tests.CreateOrderTest","createOrderWithAuth","Create order with authorization - should be successful","Test creates an order with valid ingredients when authorized"
"passed","Mon Jul 06 16:22:53 SAMT 2026","Mon Jul 06 16:22:54 SAMT 2026","669","","Update User Tests","","api.tests.UpdateUserTest","updateUserWithoutAuth_Email","Update user without authorization - should return error 401","Test tries to update user data without access token and expects error"
"passed","Mon Jul 06 16:23:16 SAMT 2026","Mon Jul 06 16:23:16 SAMT 2026","213","","Create User Tests","","api.tests.CreateUserTest","createUserWithoutName","Create user without name - should return error","Test creates user without name field and expects error about required fields"
"passed","Mon Jul 06 16:22:50 SAMT 2026","Mon Jul 06 16:22:51 SAMT 2026","633","","Login User Tests","","api.tests.LoginUserTest","loginWithoutEmail","Login without email - should return error","Test tries to login without providing email"
"passed","Mon Jul 06 16:23:06 SAMT 2026","Mon Jul 06 16:23:08 SAMT 2026","1221","","Get User Orders Tests","","api.tests.GetUserOrdersTest","getUserOrdersWithInvalidToken","Get orders with invalid token - should return error 403","Test tries to get orders with invalid/expired token"
"passed","Mon Jul 06 16:23:12 SAMT 2026","Mon Jul 06 16:23:13 SAMT 2026","553","","Create Order Tests","","api.tests.CreateOrderTest","createOrderWithInvalidIngredients","Create order with invalid ingredients hash - should return error 500","Test tries to create order with non-existent ingredient IDs"
"passed","Mon Jul 06 16:23:17 SAMT 2026","Mon Jul 06 16:23:17 SAMT 2026","196","","Create User Tests","","api.tests.CreateUserTest","createUserWithEmptyFields","Create user with empty strings - should return error","Test creates user with empty email and password"
